family,genus,species,wd,region,referenceNumber,regionId
Fabaceae,Abarema,jupunba,0.78,South_America_(tropical),114,SouthAmericaTrop
Fabaceae,Abarema,jupunba,0.66,South_America_(tropical),198,SouthAmericaTrop
Fabaceae,Abarema,jupunba,0.551,South_America_(tropical),52,SouthAmericaTrop
Fabaceae,Abarema,jupunba,0.534,South_America_(tropical),65,SouthAmericaTrop
Fabaceae,Abarema,jupunba,0.551,South_America_(tropical),189,SouthAmericaTrop
Fabaceae,Abarema,jupunba,0.5,South_America_(tropical),204,SouthAmericaTrop
Fabaceae,Abarema,jupunba,0.52,South_America_(tropical),45,SouthAmericaTrop
Fabaceae,Abarema,macradenia,0.438,Central_America_(tropical),167,CentralAmericaTrop
Pinaceae,Abies,alba,0.353,Europe,28,Europe
Pinaceae,Abies,amabilis,0.4,NorthAmerica,7,NorthAmerica
Pinaceae,Abies,arizonica,0.289,NorthAmerica,118,NorthAmerica
Pinaceae,Abies,balsamea,0.33,NorthAmerica,7,NorthAmerica
Pinaceae,Abies,concolor,0.37,NorthAmerica,7,NorthAmerica
Pinaceae,Abies,delavayi,0.4,China,32,China
Pinaceae,Abies,ernestii,0.36,China,32,China
Pinaceae,Abies,fabri,0.373,China,33,China
Pinaceae,Abies,fargesii,0.34,China,32,China
Pinaceae,Abies,faxoniana,0.385,China,33,China
Pinaceae,Abies,forrestii,0.35,China,32,China
Pinaceae,Abies,georgei,0.441,China,33,China
Pinaceae,Abies,georgei,0.425,China,33,China
Pinaceae,Abies,grandis,0.35,NorthAmerica,7,NorthAmerica
Pinaceae,Abies,guatemalensis,0.43,Central_America_(tropical),116,CentralAmericaTrop
Pinaceae,Abies,holophylla,0.336,China,33,China
Pinaceae,Abies,lasiocarpa,0.31,NorthAmerica,7,NorthAmerica
Pinaceae,Abies,magnifica,0.36,NorthAmerica,7,NorthAmerica
Pinaceae,Abies,nephrolepis,0.331,China,33,China
Pinaceae,Abies,nephrolepis,0.316,China,33,China
Pinaceae,Abies,pindrow,0.38,India,109,India
Pinaceae,Abies,pinsapo,0.41,Europe,76,Europe
Pinaceae,Abies,procera,0.37,NorthAmerica,7,NorthAmerica
Pinaceae,Abies,religiosa,0.38,Mexico,51,Mexico
Menispermaceae,Abuta,rufescens,0.45,South_America_(tropical),45,SouthAmericaTrop
Fabaceae,Acacia,acradenia,0.904,Australia,90,Australia
Fabaceae,Acacia,acuminata,0.895,Australia,90,Australia
Fabaceae,Acacia,acuminata,1.008,Australia,90,Australia
Fabaceae,Acacia,adsurgens,0.887,Australia,90,Australia
Fabaceae,Acacia,albicorticata,0.49,South_America_(tropical),44,SouthAmericaTrop
Fabaceae,Acacia,alleniana,0.56,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,ampliceps,0.568,Australia,90,Australia
Fabaceae,Acacia,amythethophylla,1.007,Africa_(extratropical),72,AfricaExtraTrop
Fabaceae,Acacia,aneura,1.033,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,aneura,1.035,Australia,90,Australia
Fabaceae,Acacia,aneura,1.019,Australia,90,Australia
Fabaceae,Acacia,aneura,0.929,Australia/PNG_(tropical),90,AustraliaTrop
Fabaceae,Acacia,aneura,0.861,Australia,90,Australia
