"id_ref","Scientific.name","Wood_density"
77,"albizia spp",0.5563596
5,"anacardium occidentale",0.4465
9,"antiaris toxicaria",0.383052632
13,"baphia nitida",0.559
15,"berlinia confusa",0.56
19,"canarium schweinfurthii",0.4089375
20,"ceiba pentandra",0.305212121
21,"celtis adolfi-friderici",0.5535
22,"celtis mildbraedii",0.617571429
26,"citrus sp",0.74
28,"cordia platythyrsa",0.3933
30,"cussonia bancoensis",0.4085
10,"elaeis guineensis",0.3
76,"elaeis guineensis",0.3
41,"ficus capensis",0.288
42,"ficus sp.",0.412
43,"funtumia africana",0.424
61,"macaranga barteri",0.404
62,"mangifera indica",0.5525
65,"musanga cecropioides",0.242833333
75,"psidium guajava",0.652
81,"spathodea campanulata",0.3505
82,"sterculia rhinopetala",0.64
82,"sterculia rhinopetala",0.673
85,"terminalia superba",0.458948276
86,"tieghemella heckelii",0.553166667
88,"uapaca guineensis",0.6118571
1,"acacia mangium",0.507
2,"afzelia bella",0.637
3,"aidia genipiflora",0.752666666666667
4,"albizia malacophylla",0.556356916099773
6,"annickia polycarpa",0.482
7,"anthonotha fragrans",0.529
11,"aucoumea klaineana",0.377851851851852
12,"azadirachta indica",0.64
14,"baphia pubescens",0.772
16,"berlinia occidentalis",0.618947727272727
17,"bombax brevicuspe",0.407666666666667
18,"bombax costatum",0.374
23,"chrysophyllum africanum",0.609888888888889
24,"chrysophyllum perpulchrum",0.7112
25,"citrus reticulata",0.74
27,"coelocaryon oxycarpum",0.451333333333333
29,"cryptosepalum tetraphyllum",0.75275
31,"cynometra ananta",0.82975
32,"daniellia thurifera",0.46
33,"detarium senegalense",0.7
34,"dialium aubrevillei",0.812419230769231
35,"didelotia unifoliolata",0.5734
37,"diospyros viridicans",0.683275126262626
38,"duguetia staudtii",0.6435
39,"eribroma oblonga",0.638454545454545
40,"erythrophleum ivorense",0.774
44,"gilbertiodendron preussii",0.697
45,"gmelina arborea",0.42975
46,"guarea cedrata",0.607288888888889
47,"guibourtia ehie",0.711785714285714
49,"hallea ledermannii",0.468142857142857
50,"heritiera utilis",0.55848
51,"hevea brasiliensis",0.466625
53,"homalium letestui",0.71425
54,"irvingia gabonensis",0.774875
55,"jatropha gossypiifolia",0.325
56,"kigelia africana",0.564
57,"klainedoxa gabonensis",0.925583333333333
58,"lannea nigritana",0.452416666666667
59,"lophira alata",0.8969
60,"lovoa trichilioides",0.454842105263158
63,"monodora myristica",0.49
66,"myrianthus libericus",0.43
67,"myrianthus libericus",0.43
68,"nauclea diderrichii",0.674086956521739
69,"oldfieldia africana",0.8375
70,"parinari excelsa",0.7019375
71,"parkia bicolor",0.4635
72,"pericopsis elata",0.63925
73,"polyalthia suaveolens",0.695
74,"prunus domestica",0.585666666666667
78,"schinus molle",0.525
79,"scottellia klaineana",0.57575
80,"scytopetalum tieghemii",0.625
83,"strombosia pustulata",0.830285714285714
84,"tectona grandis",0.601444444444444
87,"turraeanthus africanus",0.4946
89,"xylia evansii",0.796666666666667
36,"diospyros sanza-minika",0.805
48,"gymnostemon zaizou",0.39
52,"hildegardia barteri",0.5813
8,"anthosthema aubryanum",0.574065342745904
64,"musa paradisiaca",0.574065342745904
90,"xylopiastrum taiense",0.574065342745904
